,favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
150,26751,Twitter for Android,"to make up their own minds as to the truth. The media lies to make it look like I am against ""Intelligence"" when in fact I am a big fan!",,False,Thu Jan 05 13:45:57 +0000 2017,6868,817004210529116160
151,27457,Twitter for Android,"The dishonest media likes saying that I am in Agreement with Julian Assange - wrong. I simply state what he states, it is for the people....",,False,Thu Jan 05 13:25:30 +0000 2017,7780,816999062562107392
152,38365,Twitter for Android,...time for Republicans &amp; Democrats to get together and come up with a healthcare plan that really works - much less expensive &amp; FAR BETTER!,,False,Thu Jan 05 12:06:42 +0000 2017,9205,816979231217483776
153,26900,Twitter for Android,"...do the typical political thing and BLAME. The fact is ObamaCare was a lie from the beginning.""Keep you doctor, keep your plan!"" It is....",,False,Thu Jan 05 12:01:33 +0000 2017,7202,816977937731878912
154,28115,Twitter for Android,"The Democrats, lead by head clown Chuck Schumer, know how bad ObamaCare is and what a mess they are in. Instead of working to fix it, they..",,False,Thu Jan 05 11:57:57 +0000 2017,7621,816977032433270784
155,13225,Twitter Web Client,"Jackie Evancho's album sales have skyrocketed after announcing her Inauguration performance.Some people just don't understand the ""Movement""",,False,Wed Jan 04 18:52:09 +0000 2017,3259,816718880731234304
156,19962,Twitter for Android,massive increases of ObamaCare will take place this year and Dems are to blame for the mess. It will fall of its own weight - be careful!,,False,Wed Jan 04 14:26:45 +0000 2017,5319,816652088662958082
157,19857,Twitter for Android,"like the 116% hike in Arizona. Also, deductibles are so high that it is practically useless. Don't let the Schumer clowns out of this web...",,False,Wed Jan 04 14:01:53 +0000 2017,5396,816645831659061248
158,20151,Twitter for Android,"Republicans must be careful in that the Dems own the failed ObamaCare disaster, with its poor coverage and massive premium increases......",,False,Wed Jan 04 13:55:53 +0000 2017,5398,816644321768312832
159,23073,Twitter for Android,"things they did and said (like giving the questions to the debate to H). A total double standard! Media, as usual, gave them a pass.",,False,Wed Jan 04 13:31:32 +0000 2017,5945,816638194468999169
160,21023,Twitter for Android,"Somebody hacked the DNC but why did they not have ""hacking defense"" like the RNC has and why have they not responded to the terrible......",,False,Wed Jan 04 13:27:03 +0000 2017,5742,816637064708030464
161,39855,Twitter for Android,Thank you to Ford for scrapping a new plant in Mexico and creating 700 new jobs in the U.S. This is just the beginning - much more to follow,,False,Wed Jan 04 13:19:09 +0000 2017,10116,816635078067490816
162,20288,Twitter for Android,"""@FoxNews: Julian Assange on U.S. media coverage: “It’s very dishonest.” #Hannity https://t.co/ADcPRQifH9"" More dishonest than anyone knows",,True,Wed Jan 04 13:10:05 +0000 2017,7296,816632793862176769
163,32684,Twitter for Android,"Julian Assange said ""a 14 year old could have hacked Podesta"" - why was DNC so careless? Also said Russians did not give him the info!",,False,Wed Jan 04 12:22:38 +0000 2017,10962,816620855958601730
164,29889,Twitter for Android,"The ""Intelligence"" briefing on so-called ""Russian hacking"" was delayed until Friday, perhaps more time needed to build a case. Very strange!",,False,Wed Jan 04 01:14:52 +0000 2017,9690,816452807024840704
165,1310,Twitter for Android,I will be having a general news conference on JANUARY ELEVENTH in N.Y.C. Thank you.,,False,Tue Jan 03 23:58:31 +0000 2017,401,816433590892429312
166,2573,Twitter for iPhone,"""Trump is already delivering the jobs he promised America"" https://t.co/11spTMa6Tm",,False,Tue Jan 03 18:44:47 +0000 2017,817,816354639859871745
